# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	7803	8339	-	WP_003120688.1	WP_003120688.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase			PAO1OR_RS00030	537	178	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	8671	10377	+							PAO1OR_RS00035	1707		old_locus_tag=PAO1OR0007
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	8671	10377	+	WP_003114647.1	WP_003114647.1		hypothetical protein			PAO1OR_RS00035	1707	568	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	10434	12488	-							PAO1OR_RS00040	2055		old_locus_tag=PAO1OR0008
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	10434	12488	-	WP_003114646.1	WP_003114646.1		glycine--tRNA ligase subunit beta			PAO1OR_RS00040	2055	684	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	12488	13435	-							PAO1OR_RS00045	948		old_locus_tag=PAO1OR0009
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	12488	13435	-	WP_003097276.1	WP_003097276.1		glycine--tRNA ligase subunit alpha			PAO1OR_RS00045	948	315	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	13540	14091	+							PAO1OR_RS00050	552		old_locus_tag=PAO1OR0010
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	13540	14091	+	WP_003097280.1	WP_003097280.1		DNA-3-methyladenine glycosidase I			PAO1OR_RS00050	552	183	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	14235	15122	+							PAO1OR_RS00055	888		old_locus_tag=PAO1OR0011
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	14235	15122	+	WP_003097282.1	WP_003097282.1		lipid A biosynthesis lauroyl acyltransferase			PAO1OR_RS00055	888	295	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	15207	15473	+							PAO1OR_RS00060	267		old_locus_tag=PAO1OR0012
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	15207	15473	+	WP_003114645.1	WP_003114645.1		hypothetical protein			PAO1OR_RS00060	267	88	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	15620	16273	+							PAO1OR_RS00065	654		old_locus_tag=PAO1OR0013
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	15620	16273	+	WP_003097286.1	WP_003097286.1		hypothetical protein			PAO1OR_RS00065	654	217	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	16335	16607	-							PAO1OR_RS00070	273		old_locus_tag=PAO1OR0014
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	16335	16607	-	WP_003114644.1	WP_003114644.1		hypothetical protein			PAO1OR_RS00070	273	90	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	16900	17214	-							PAO1OR_RS00075	315		old_locus_tag=PAO1OR0015
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	16900	17214	-	WP_003107051.1	WP_003107051.1		hypothetical protein			PAO1OR_RS00075	315	104	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	17366	18739	-					trkA		PAO1OR_RS00080	1374		old_locus_tag=PAO1OR0016
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	17366	18739	-	WP_003107053.1	WP_003107053.1		potassium transporter inner membrane associated protein	trkA		PAO1OR_RS00080	1374	457	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	18767	20071	-							PAO1OR_RS00085	1305		old_locus_tag=PAO1OR0017
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	18767	20071	-	WP_003114643.1	WP_003114643.1		ribosomal RNA small subunit methyltransferase B			PAO1OR_RS00085	1305	434	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	20068	21012	-					fmt		PAO1OR_RS00090	945		old_locus_tag=PAO1OR0018
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	20068	21012	-	WP_003114642.1	WP_003114642.1		methionyl-tRNA formyltransferase	fmt		PAO1OR_RS00090	945	314	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	21067	21573	-							PAO1OR_RS00095	507		old_locus_tag=PAO1OR0019
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	21067	21573	-	WP_003107059.1	WP_003107059.1		peptide deformylase			PAO1OR_RS00095	507	168	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	21712	22737	+							PAO1OR_RS00100	1026		old_locus_tag=PAO1OR0020
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	21712	22737	+	WP_003097294.1	WP_003097294.1		hypothetical protein			PAO1OR_RS00100	1026	341	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	22872	23960	+							PAO1OR_RS00105	1089		old_locus_tag=PAO1OR0021
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	22872	23960	+	WP_003114641.1	WP_003114641.1		DNA processing protein DprA			PAO1OR_RS00105	1089	362	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	24001	24558	+							PAO1OR_RS00110	558		old_locus_tag=PAO1OR0022
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	24001	24558	+	WP_003097300.1	WP_003097300.1		threonylcarbamoyl-AMP synthase			PAO1OR_RS00110	558	185	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	24568	25545	-							PAO1OR_RS00115	978		old_locus_tag=PAO1OR0023
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	24568	25545	-	WP_003111202.1	WP_003111202.1		quinone oxidoreductase			PAO1OR_RS00115	978	325	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	25736	26653	+							PAO1OR_RS00120	918		old_locus_tag=PAO1OR0024
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	25736	26653	+	WP_003097311.1	WP_003097311.1		coproporphyrinogen III oxidase			PAO1OR_RS00120	918	305	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	26711	27535	+					aroE		PAO1OR_RS00125	825		old_locus_tag=PAO1OR0025
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	26711	27535	+	WP_003111201.1	WP_003111201.1		shikimate dehydrogenase (NADP+)	aroE		PAO1OR_RS00125	825	274	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	27646	28632	+							PAO1OR_RS00130	987		old_locus_tag=PAO1OR0026
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	27646	28632	+	WP_003111200.1	WP_003111200.1		phospholipase C			PAO1OR_RS00130	987	328	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	28613	29899	+							PAO1OR_RS00135	1287		old_locus_tag=PAO1OR0027
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	28613	29899	+	WP_003114640.1	WP_003114640.1		hypothetical protein			PAO1OR_RS00135	1287	428	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	29896	30498	+							PAO1OR_RS00140	603		old_locus_tag=PAO1OR0028
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	29896	30498	+	WP_003114639.1	WP_003114639.1		hypothetical protein			PAO1OR_RS00140	603	200	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	30502	32055	-							PAO1OR_RS00145	1554		old_locus_tag=PAO1OR0029
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	30502	32055	-	WP_003114638.1	WP_003114638.1		sulfate transporter			PAO1OR_RS00145	1554	517	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	32060	32983	-							PAO1OR_RS00150	924		old_locus_tag=PAO1OR0030
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	32060	32983	-	WP_003115797.1	WP_003115797.1		hypothetical protein			PAO1OR_RS00150	924	307	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	33000	34511	-							PAO1OR_RS00155	1512		old_locus_tag=PAO1OR0031
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	33000	34511	-	WP_003114636.1	WP_003114636.1		choline-sulfatase			PAO1OR_RS00155	1512	503	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	34624	35538	+							PAO1OR_RS00160	915		old_locus_tag=PAO1OR0032
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	34624	35538	+	WP_003122286.1	WP_003122286.1		transcriptional regulator			PAO1OR_RS00160	915	304	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	35549	35926	+							PAO1OR_RS00165	378		old_locus_tag=PAO1OR0033
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	35549	35926	+	WP_003114635.1	WP_003114635.1		DOPA 4,5-dioxygenase			PAO1OR_RS00165	378	125	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	35905	36270	-							PAO1OR_RS00170	366		old_locus_tag=PAO1OR0034
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	35905	36270	-	WP_003097330.1	WP_003097330.1		hypothetical protein			PAO1OR_RS00170	366	121	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	36278	36901	-							PAO1OR_RS00175	624		old_locus_tag=PAO1OR0035
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	36278	36901	-	WP_003111192.1	WP_003111192.1		DNA-binding response regulator			PAO1OR_RS00175	624	207	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	37087	37893	-					trpA		PAO1OR_RS00180	807		old_locus_tag=PAO1OR0036
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	37087	37893	-	WP_003115801.1	WP_003115801.1		tryptophan synthase subunit alpha	trpA		PAO1OR_RS00180	807	268	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	37890	39098	-							PAO1OR_RS00185	1209		old_locus_tag=PAO1OR0037
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	37890	39098	-	WP_003097340.1	WP_003097340.1		tryptophan synthase subunit beta			PAO1OR_RS00185	1209	402	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	39202	40089	+							PAO1OR_RS00190	888		old_locus_tag=PAO1OR0038
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	39202	40089	+	WP_003114633.1	WP_003114633.1		transcriptional regulator			PAO1OR_RS00190	888	295	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	40190	40405	+							PAO1OR_RS00195	216		old_locus_tag=PAO1OR0039
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	40190	40405	+	WP_003097345.1	WP_003097345.1		hypothetical protein			PAO1OR_RS00195	216	71	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	40595	40816	+							PAO1OR_RS00200	222		old_locus_tag=PAO1OR0040
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	40595	40816	+	WP_003108017.1	WP_003108017.1		hypothetical protein			PAO1OR_RS00200	222	73	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	41158	42801	+							PAO1OR_RS00205	1644		old_locus_tag=PAO1OR0041
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	41158	42801	+	WP_026652113.1	WP_026652113.1		hemolysin secretion/activation ShlB/FhaC/HecB family protein			PAO1OR_RS00205	1644	547	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	42914	53521	+							PAO1OR_RS00210	10608		old_locus_tag=PAO1OR0042
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	42914	53521	+	WP_003147038.1	WP_003147038.1		hemagglutinin			PAO1OR_RS00210	10608	3535	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	54121	54822	+							PAO1OR_RS00215	702		old_locus_tag=PAO1OR0043
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	54121	54822	+	WP_003114586.1	WP_003114586.1		transposase			PAO1OR_RS00215	702	233	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	56546	56941	+							PAO1OR_RS00220	396		old_locus_tag=PAO1OR0044
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	56546	56941	+	WP_003114584.1	WP_003114584.1		hypothetical protein			PAO1OR_RS00220	396	131	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	57212	58465	-							PAO1OR_RS00225	1254		old_locus_tag=PAO1OR0045
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	57212	58465	-	WP_003083553.1	WP_003083553.1		hypothetical protein			PAO1OR_RS00225	1254	417	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	58786	60159	+							PAO1OR_RS00230	1374		old_locus_tag=PAO1OR0046
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	58786	60159	+	WP_003114583.1	WP_003114583.1		exoenzyme T			PAO1OR_RS00230	1374	457	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	60656	61342	+							PAO1OR_RS00235	687		old_locus_tag=PAO1OR0047
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	60656	61342	+	WP_003111706.1	WP_003111706.1		hypothetical protein			PAO1OR_RS00235	687	228	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	61373	61726	+							PAO1OR_RS00240	354		old_locus_tag=PAO1OR0048
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	61373	61726	+	WP_003083569.1	WP_003083569.1		hypothetical protein			PAO1OR_RS00240	354	117	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	61723	62388	+							PAO1OR_RS00245	666		old_locus_tag=PAO1OR0049
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	61723	62388	+	WP_003114582.1	WP_003114582.1		hypothetical protein			PAO1OR_RS00245	666	221	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	62403	62786	-							PAO1OR_RS00250	384		old_locus_tag=PAO1OR0050
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	62403	62786	-	WP_003083575.1	WP_003083575.1		transcriptional regulator			PAO1OR_RS00250	384	127	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	63068	64729	-							PAO1OR_RS00255	1662		old_locus_tag=PAO1OR0051
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	63068	64729	-	WP_003114581.1	WP_003114581.1		hypothetical protein			PAO1OR_RS00255	1662	553	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	65339	65479	+							PAO1OR_RS00260	141		old_locus_tag=PAO1OR0052
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	65339	65479	+	WP_003083582.1	WP_003083582.1		hypothetical protein			PAO1OR_RS00260	141	46	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	65541	65678	+							PAO1OR_RS00265	138		
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	65541	65678	+	WP_003083584.1	WP_003083584.1		hypothetical protein			PAO1OR_RS00265	138	45	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	66303	68135	+							PAO1OR_RS00270	1833		old_locus_tag=PAO1OR0053
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	66303	68135	+	WP_003114665.1	WP_003114665.1		asparagine synthetase B			PAO1OR_RS00270	1833	610	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	68188	68616	-							PAO1OR_RS00275	429		old_locus_tag=PAO1OR0054
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	68188	68616	-	WP_003083588.1	WP_003083588.1		hypothetical protein			PAO1OR_RS00275	429	142	
gene	pseudogene	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	69056	69526	+				N-acetylglucosamine-6-phosphate deacetylase			PAO1OR_RS00280	471		pseudo;old_locus_tag=PAO1OR0055
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	69543	70091	-							PAO1OR_RS00285	549		old_locus_tag=PAO1OR0056
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	69543	70091	-	WP_003111523.1	WP_003111523.1		RNA 2'-phosphotransferase			PAO1OR_RS00285	549	182	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	70130	70636	-							PAO1OR_RS00290	507		old_locus_tag=PAO1OR0057
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	70130	70636	-	WP_003083593.1	WP_003083593.1		hypothetical protein			PAO1OR_RS00290	507	168	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	70702	71622	-							PAO1OR_RS00295	921		old_locus_tag=PAO1OR0058
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	70702	71622	-	WP_003083596.1	WP_003083596.1		transcriptional regulator			PAO1OR_RS00295	921	306	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	71730	72617	+							PAO1OR_RS00300	888		old_locus_tag=PAO1OR0059
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	71730	72617	+	WP_003083599.1	WP_003083599.1		hypothetical protein			PAO1OR_RS00300	888	295	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	72680	73384	+							PAO1OR_RS00305	705		old_locus_tag=PAO1OR0060
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	72680	73384	+	WP_003114663.1	WP_003114663.1		hypothetical protein			PAO1OR_RS00305	705	234	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	73498	73923	+							PAO1OR_RS00310	426		old_locus_tag=PAO1OR0061
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	73498	73923	+	WP_003083605.1	WP_003083605.1		peroxiredoxin			PAO1OR_RS00310	426	141	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	74034	74267	+							PAO1OR_RS00315	234		old_locus_tag=PAO1OR0062
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	74034	74267	+	WP_003114662.1	WP_003114662.1		hypothetical protein			PAO1OR_RS00315	234	77	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	74279	74716	-							PAO1OR_RS00320	438		old_locus_tag=PAO1OR0063
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	74279	74716	-	WP_003083612.1	WP_003083612.1		hypothetical protein			PAO1OR_RS00320	438	145	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	74773	75189	-							PAO1OR_RS00325	417		old_locus_tag=PAO1OR0064
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	74773	75189	-	WP_003083614.1	WP_003083614.1		hypothetical protein			PAO1OR_RS00325	417	138	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	75281	76408	+							PAO1OR_RS00330	1128		old_locus_tag=PAO1OR0065
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	75281	76408	+	WP_003118564.1	WP_003118564.1		hypothetical protein			PAO1OR_RS00330	1128	375	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	76416	77399	-							PAO1OR_RS00335	984		old_locus_tag=PAO1OR0066
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	76416	77399	-	WP_003114660.1	WP_003114660.1		hypothetical protein			PAO1OR_RS00335	984	327	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	77432	78097	-							PAO1OR_RS00340	666		old_locus_tag=PAO1OR0067
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	77432	78097	-	WP_003114659.1	WP_003114659.1		5'-nucleotidase			PAO1OR_RS00340	666	221	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	78090	78632	-							PAO1OR_RS00345	543		old_locus_tag=PAO1OR0068
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	78090	78632	-	WP_003083618.1	WP_003083618.1		gamma carbonic anhydrase family protein			PAO1OR_RS00345	543	180	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	78710	80755	+							PAO1OR_RS00350	2046		old_locus_tag=PAO1OR0069
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	78710	80755	+	WP_003114658.1	WP_003114658.1		oligopeptidase A			PAO1OR_RS00350	2046	681	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	80752	81027	+							PAO1OR_RS00355	276		old_locus_tag=PAO1OR0070
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	80752	81027	+	WP_003083624.1	WP_003083624.1		hypothetical protein			PAO1OR_RS00355	276	91	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	81116	82174	+							PAO1OR_RS00360	1059		old_locus_tag=PAO1OR0071
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	81116	82174	+	WP_003083628.1	WP_003083628.1		radical SAM protein			PAO1OR_RS00360	1059	352	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	82404	83318	-							PAO1OR_RS00365	915		old_locus_tag=PAO1OR0072
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	82404	83318	-	WP_003106614.1	WP_003106614.1		hypothetical protein			PAO1OR_RS00365	915	304	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	83380	85092	-							PAO1OR_RS00370	1713		old_locus_tag=PAO1OR0073
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	83380	85092	-	WP_003106615.1	WP_003106615.1		hypothetical protein			PAO1OR_RS00370	1713	570	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	85085	86284	-							PAO1OR_RS00375	1200		old_locus_tag=PAO1OR0074
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	85085	86284	-	WP_003083634.1	WP_003083634.1		hypothetical protein			PAO1OR_RS00375	1200	399	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	86284	87000	-							PAO1OR_RS00380	717		old_locus_tag=PAO1OR0075
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	86284	87000	-	WP_024082387.1	WP_024082387.1		ABC transporter ATP-binding protein			PAO1OR_RS00380	717	238	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	87000	90098	-							PAO1OR_RS00385	3099		old_locus_tag=PAO1OR0076
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	87000	90098	-	WP_003147051.1	WP_003147051.1		serine/threonine protein kinase			PAO1OR_RS00385	3099	1032	
