# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	41307	41912	+	WP_003901777.1	WP_003901777.1		hypothetical protein			P425_RS05870	606	201	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	42004	42351	-							P425_RS05875	348		old_locus_tag=P425_00042
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	42004	42351	-	WP_003907179.1	WP_003907179.1		hypothetical protein			P425_RS05875	348	115	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	42433	43365	-							P425_RS05880	933		old_locus_tag=P425_00043
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	42433	43365	-	WP_003900793.1	WP_003900793.1		hypothetical protein			P425_RS05880	933	310	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	43562	46471	+							P425_RS05885	2910		old_locus_tag=P425_00044
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	43562	46471	+	WP_003900794.1	WP_003900794.1		leucine--tRNA ligase			P425_RS05885	2910	969	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	46581	47084	-							P425_RS05890	504		old_locus_tag=P425_00045
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	46581	47084	-	WP_003912416.1	WP_003912416.1		MarR family transcriptional regulator			P425_RS05890	504	167	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	47366	48100	-							P425_RS05895	735		old_locus_tag=P425_00046
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	47366	48100	-	WP_003899786.1	WP_003899786.1		GntR family transcriptional regulator			P425_RS05895	735	244	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	48233	49027	-							P425_RS05900	795		old_locus_tag=P425_00047
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	48233	49027	-	WP_003400486.1	WP_003400486.1		oxidoreductase			P425_RS05900	795	264	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	49043	49939	-							P425_RS05905	897		old_locus_tag=P425_00048
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	49043	49939	-	WP_003400489.1	WP_003400489.1		hydrolase			P425_RS05905	897	298	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	50021	51124	-							P425_RS05910	1104		old_locus_tag=P425_00049
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	50021	51124	-	WP_003902822.1	WP_003902822.1		inositol-3-phosphate synthase			P425_RS05910	1104	367	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	51185	51727	-							P425_RS05915	543		old_locus_tag=P425_00050
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	51185	51727	-	WP_003899787.1	WP_003899787.1		hypothetical protein			P425_RS05915	543	180	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	51828	52697	-							P425_RS05920	870		old_locus_tag=P425_00051
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	51828	52697	-	WP_003907183.1	WP_003907183.1		membrane protein			P425_RS05920	870	289	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	52831	53244	+							P425_RS05925	414		old_locus_tag=P425_00052
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	52831	53244	+	WP_003400504.1	WP_003400504.1		hypothetical protein			P425_RS05925	414	137	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	53237	55696	+							P425_RS05930	2460		old_locus_tag=P425_00053
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	53237	55696	+	WP_003400507.1	WP_003400507.1		penicillin-binding protein 1A			P425_RS05930	2460	819	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	55693	57375	+							P425_RS05935	1683		old_locus_tag=P425_00054
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	55693	57375	+	WP_003400514.1	WP_003400514.1		hypothetical protein			P425_RS05935	1683	560	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	57332	57970	+							P425_RS05940	639		old_locus_tag=P425_00055
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	57332	57970	+	WP_003912418.1	WP_003912418.1		hypothetical protein			P425_RS05940	639	212	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	58189	58479	+							P425_RS05945	291		old_locus_tag=P425_00056
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	58189	58479	+	WP_003400520.1	WP_003400520.1		30S ribosomal protein S6			P425_RS05945	291	96	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	58583	59077	+							P425_RS05950	495		old_locus_tag=P425_00057
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	58583	59077	+	WP_003400534.1	WP_003400534.1		single-stranded DNA-binding protein			P425_RS05950	495	164	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	59119	59373	+							P425_RS05955	255		old_locus_tag=P425_00058
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	59119	59373	+	WP_003400540.1	WP_003400540.1		30S ribosomal protein S18			P425_RS05955	255	84	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	59406	59864	+							P425_RS05960	459		old_locus_tag=P425_00059
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	59406	59864	+	WP_003400543.1	WP_003400543.1		50S ribosomal protein L9			P425_RS05960	459	152	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	59893	60414	+							P425_RS05965	522		old_locus_tag=P425_00060
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	59893	60414	+	WP_003900797.1	WP_003900797.1		hypothetical protein			P425_RS05965	522	173	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	60393	63017	+							P425_RS05970	2625		old_locus_tag=P425_00061
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	60393	63017	+	WP_003916208.1	WP_003916208.1		replicative DNA helicase			P425_RS05970	2625	874	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	63197	63889	+							P425_RS05975	693		old_locus_tag=P425_00062
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	63197	63889	+	WP_003400548.1	WP_003400548.1		hypothetical protein			P425_RS05975	693	230	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	63906	64964	+							P425_RS05980	1059		old_locus_tag=P425_00063
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	63906	64964	+	WP_003400551.1	WP_003400551.1		hypothetical protein			P425_RS05980	1059	352	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	64988	65413	+							P425_RS0104105	426		
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	64988	65413	+	WP_003907190.1	WP_003907190.1		hypothetical protein			P425_RS0104105	426	141	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	65397	65609	-							P425_RS0104110	213		
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	65397	65609	-	WP_003906274.1	WP_003906274.1		hypothetical protein			P425_RS0104110	213	70	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	65639	66691	+							P425_RS05985	1053		old_locus_tag=P425_00065
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	65639	66691	+	WP_015456091.1	WP_015456091.1		endo-1,4-beta-glucanase			P425_RS05985	1053	350	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	66920	68359	+							P425_RS05990	1440		old_locus_tag=P425_00066
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	66920	68359	+	WP_003901784.1	WP_003901784.1		oxidoreductase			P425_RS05990	1440	479	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	68617	71556	+							P425_RS05995	2940		old_locus_tag=P425_00067
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	68617	71556	+	WP_009937016.1	WP_009937016.1		membrane protein			P425_RS05995	2940	979	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	71586	71825	+							P425_RS06000	240		old_locus_tag=P425_00068
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	71586	71825	+	WP_003400577.1	WP_003400577.1		antitoxin VapB1			P425_RS06000	240	79	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	71818	72219	+							P425_RS06005	402		old_locus_tag=P425_00069
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	71818	72219	+	WP_003400580.1	WP_003400580.1		ribonuclease VapC1			P425_RS06005	402	133	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	72271	74508	-							P425_RS06010	2238		old_locus_tag=P425_00070
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	72271	74508	-	WP_003899797.1	WP_003899797.1		isocitrate dehydrogenase			P425_RS06010	2238	745	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	74626	75195	-							P425_RS06015	570		old_locus_tag=P425_00071
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	74626	75195	-	WP_003400591.1	WP_003400591.1		transcriptional regulator			P425_RS06015	570	189	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	75298	76209	+							P425_RS06020	912		old_locus_tag=P425_00072
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	75298	76209	+	WP_003912371.1	WP_003912371.1		oxidoreductase			P425_RS06020	912	303	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	76234	77619	-							P425_RS06025	1386		old_locus_tag=P425_00073
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	76234	77619	-	WP_003400600.1	WP_003400600.1		L-serine dehydratase			P425_RS06025	1386	461	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	77616	78893	-							P425_RS06030	1278		old_locus_tag=P425_00074
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	77616	78893	-	WP_003899799.1	WP_003899799.1		serine hydroxymethyltransferase 2			P425_RS06030	1278	425	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	79483	80190	+							P425_RS06035	708		old_locus_tag=P425_00075
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	79483	80190	+	WP_003913073.1	WP_003913073.1		maturase			P425_RS06035	708	235	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	80621	81670	+							P425_RS06040	1050		old_locus_tag=P425_00076
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	80621	81670	+	WP_003400616.1	WP_003400616.1		glutamine ABC transporter permease			P425_RS06040	1050	349	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	81673	82665	+							P425_RS06045	993		old_locus_tag=P425_00077
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	81673	82665	+	WP_003899801.1	WP_003899801.1		glutamine ABC transporter ATP-binding protein			P425_RS06045	993	330	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	82745	83980	+							P425_RS06050	1236		old_locus_tag=P425_00078
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	82745	83980	+	WP_003400620.1	WP_003400620.1		hypothetical protein			P425_RS06050	1236	411	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	83993	85165	+							P425_RS06055	1173		old_locus_tag=P425_00079
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	83993	85165	+	WP_003400622.1	WP_003400622.1		aminotransferase			P425_RS06055	1173	390	
